word,count
ELISÁ,3
TÁRSIS,28
QUITIM,7
DODANIM,2
REPARTIDAS,1
ILHAS,31
NAÇÕES,469
TERRAS,86
LÍNGUA,145
MIZRAIM,4
PUTE,7
SEBA,7
SABTÁ,2
RAAMÁ,5
SABTECÁ,2
SEBÁ,16
DEDÃ,11
NINRODE,4
PODEROSO,82
CAÇADOR,5
DIZ,1074
REINO,341
BABEL,2
EREQUE,2
ACADE,1
CALNÉ,2
SINAR,7
MESMA,129
NÍNIVE,18
REOBOTE-IR,1
CALÁ,2
RÉSEM,1
LUDIM,1
ANAMIM,1
LEABIM,1
NAFTUIM,1
PATRUSIM,1
CASLUIM,1
DONDE,67
FILISTEUS,250
CAFTORIM,1
SIDOM,34
PRIMOGÊNITO,98
HETE,15
JEBUSEU,14
AMORREU,12
GIRGASEU,2
HEVEU,7
ARQUEU,1
SINEU,1
ARVADEU,1
ZEMAREU,1
HAMATEU,1
ESPALHARAM,6
CANANEUS,59
TERMO,106
DIREÇÃO,32
GERAR,14
GAZA,22
DAÍ,28
SODOMA,48
GOMORRA,23
ADMÁ,5
ZEBOIM,6
LASA,1
LÍNGUAS,40
EBER,17
VELHO,64
ELÃO,28
ASSUR,6
ARFAXADE,11
LUDE,5
ARÃO,355
UZ,8
HUL,2
GETER,2
MÁS,23
SELÁ,20
PELEGUE,7
DIVIDIDA,3
JOCTÃ,6
ALMODÁ,2
SELEFE,2
HAZARMAVÉ,2
JERÁ,2
HADORÃO,4
USAL,1
DICLA,1
OBAL,1
ABIMAEL,2
OFIR,12
JOBABE,9
HABITAÇÃO,58
MESSA,4
SEFAR,1
MONTANHA,19
ESSAS,76
DELAS,106
DISSEMINADAS,1
IDIOMA,1
DESLOCANDO-SE,1
ACHARAM,55
VALE,166
HABITARAM,43
DISSERAM,296
EIA,8
TIJOLOS,13
QUEIMEMO-LOS,1
SERVIRAM,34
PEDRAS,167
ARGAMASSA,8
EDIFIQUEMOS,7
TORRE,37
CUJO,111
CUME,39
TOQUE,2
FAÇAMO-NOS,1
SEJAMOS,18
ESPALHADOS,10
DESCEU,97
EDIFICAVAM,4
POVO,1821
TÊM,209
COMEÇAM,2
RESTRIÇÃO,1
INTENTAREM,1
DESÇAMOS,2
CONFUNDAMOS,1
LINGUAGEM,6
ENTENDA,10
ESPALHOU,14
CESSARAM,10
EDIFICAR,69
CONFUNDIU,2
CEM,115
QUATROCENTOS,55
REÚ,5
DUZENTOS,74
SERUGUE,5
NAOR,20
TERA,13
DEZENOVE,3
ABRÃO,68
HARÃ,20
LÓ,37
ANTES,424
NASCIMENTO,13
UR,5
CALDEUS,81
SARAI,18
MILCA,11
FILHA,307
ISCÁ,1
ESTÉRIL,18
NORA,17
IR,180
SAI-TE,2
PARENTELA,21
MOSTRAREI,14
NAÇÃO,133
ABENÇOAR-TE-EI,1
ENGRANDECEREI,2
SÊ,38
BÊNÇÃO,50
ABENÇOAREI,9
ABENÇOAREM,5
AMALDIÇOAREI,3
ÀQUELE,54
BENDITAS,5
PARTIU,74
LEVOU,111
BENS,90
HAVIAM,146
ADQUIRIDO,6
ALMAS,61
ACRESCERAM,1
IREM,12
CHEGARAM,97
PASSOU,79
PELA,827
SIQUÉM,65
CARVALHO,21
MORÉ,3
DAREI,152
APARECERA,5
MONTE,349
BETEL,71
ARMOU,11
FICANDO-LHE,1
OCIDENTE,66
AI,163
INVOCOU,7
CONTINUOU,10
SEGUINDO,26
SUL,121
FOME,157
NAQUELA,57
EGITO,605
PEREGRINAR,22
PRESTES,14
FORMOSA,41
EGÍPCIOS,110
VIREM,15
DIRÃO,47
MATARÃO,9
GUARDARÃO,6
DIZE,93
PEÇO-TE,57
VÁ,46
ATENÇÃO,9
ACONTECEU,60
ENTRANDO,58
MUI,60
PRÍNCIPES,255
FARAÓ,270
GABARAM-NA,1
LEVADA,10
TRATOU,3
TER,315
BOIS,113
JUMENTOS,48
SERVAS,25
JUMENTAS,17
CAMELOS,48
FERIU,121
PRAGAS,23
DISSESTE,56
TOMEI,28
AQUI,306
TOMA-A,5
VAI-TE,22
ORDENS,34
GUARDAS,50
RESPEITO,159
DESPEDIRAM,6
SUBIU,147
NEGEBE,23
LEVANDO,38
ACOMPANHAVA,3
RICO,51
PRATA,319
JORNADAS,8
OUTRORA,25
ESTIVERA,12
DANTES,52
REBANHOS,69
PODIA,48
SUSTENTÁ-LOS,1
HABITAREM,6
JUNTOS,57
MUITOS,323
MODO,372
PODIAM,50
HABITAR,68
CONTENDA,32
PASTORES,60
PERIZEUS,18
HABITAVAM,50
SOMOS,130
ROGO-TE,35
APARTES,2
ESCOLHERES,2
ESQUERDA,78
IREI,46
DIREITA,165
PLANÍCIE,19
JORDÃO,194
REGADA,2
DESTRUÍDO,40
CHEGAR,75
ZOAR,14
ESCOLHEU,45
APARTARAM,10
CIDADES,453
ARMANDO,3
MAUS,49
PECADORES,48
APARTOU,26
LEVANTA,61
OLHA,72
NORTE,146
VÊS,32
HEI,98
PUDER,8
CONTADO,17
PODERÁ,74
CONTADA,7
LEVANTA-TE,113
PERCORRE,3
MUDOU,14
CARVALHOS,8
MANRE,10
HEBROM,70
ANRAFEL,2
REI,2476
ARIOQUE,7
ELASAR,2
QUEDORLAOMER,5
TIDAL,2
GOIIM,2
GUERRA,210
BERA,1
BIRSA,1
SINABE,1
SEMEBER,1
BELÁ,13
AJUNTARAM,41
SIDIM,3
SALGADO,11
SERVIDO,15
REBELARAM-SE,3
REIS,328
FERIRAM,41
REFAINS,12
ASTEROTE-CARNAIM,1
ZUZINS,1
HÃO,47
EMINS,3
SAVÉ-QUIRIATAIM,1
HOREUS,6
SEIR,39
EL-PARÃ,1
DESERTO,333
VOLTARAM,66
EN-MISPATE,1
CADES,16
AMALEQUITAS,26
AMORREUS,75
HAZAZOM-TAMAR,2
ORDENARAM,12
BATALHA,63
CHEIO,57
POÇOS,9
FUGIRAM,52
CAÍRAM,64
RESTANTES,15
HABITAVA,35
PARTIRAM,76
ESCAPARA,2
HEBREU,11
ESCOL,6
ANER,3
ALIADOS,3
PRESO,37
TREINADOS,1
NASCIDOS,9
NÚMERO,152
DEZOITO,23
PERSEGUIU,17
DÃ,69
DIVIDIU-SE,1
PERSEGUINDO-OS,1
HOBÁ,1
FICA,62
DAMASCO,59
TRAZER,73
SAIU-LHE,8
ENCONTRO,120
SAVÉ,1
MELQUISEDEQUE,10
SALÉM,4
SACERDOTE,483
ALTÍSSIMO,56
CRIADOR,20
ENTREGOU,105
INIMIGOS,253
TUAS,474
DEU-LHE,17
DÍZIMO,17
DÁ-ME,37
PESSOAS,45
TOMA-OS,2
LEVANTO,9
JURANDO,9
TOMAREI,24
COISA,355
ALGUMA,312
FIO,48
CORREIA,5
SAPATO,7
DIGAS,14
ENRIQUECI,1
SALVO,42
TÃO,113
MANCEBOS,61
COMERAM,52
PARTE,418
TOCA,12
COMIGO,268
TOMEM,4
DESTAS,81
COISAS,736
PALAVRA,756
NUMA,138
VISÃO,79
TEMAS,64
ESCUDO,50
GALARDÃO,15
GRANDÍSSIMO,2
Ó,881
MORRO,6
HERDEIRO,18
DAMASCENO,1
ELIÉZER,16
TENS,190
NASCIDO,29
AQUELE,711
SAIR,122
ENTRANHAS,33
CONTA,41
CONTAR,24
ACRESCENTOU-LHE,1
CREU,19
IMPUTOU-LHE,1
JUSTIÇA,384
DISSE-LHE,199
TIREI,35
HERANÇA,291
SABEREI,2
HERDÁ-LA,2
TOMA-ME,1
NOVILHA,17
CABRA,14
CARNEIRO,88
ROLA,5
POMBINHO,2
PARTIU-OS,3
FRENTE,59
RAPINA,16
DESCIAM,7
CADÁVERES,38
ENXOTAVA,1
PÔR,45
SOL,172
PROFUNDO,18
SOBREVIERAM,9
DENSAS,10
PEREGRINA,9
ALHEIA,5
REDUZIDA,4
ESCRAVIDÃO,7
AFLIGIDA,1
JULGAREI,15
SERVIR,69
SAIRÁ,67
IRÁS,20
PAZ,308
PAIS,485
VELHICE,19
SEPULTADO,39
QUARTA,33
VOLTARÃO,22
CÁ,31
MEDIDA,63
INIQÜIDADE,258
JÁ,552
ESCURO,9
FOGO,478
FUMEGANTE,1
TOCHA,3
PASSARAM,48
AQUELAS,27
METADES,3
NAQUELE,282
QUENEU,6
QUENIZEU,1
CADMONEU,1
HETEU,24
PERIZEU,5
CANANEU,11
DAVA,43
SERVA,81
EGÍPCIA,4
CHAMAVA,26
AGAR,15
IMPEDIDO,6
TOMA,108
TEREI,22
OUVIU,113
HABITADO,3
CONCEBERA,1
SENHORA,11
DESPREZADA,7
AFRONTA,16
DIRIGIDA,5
PUS,42
REGAÇO,13
JULGUE,17
FAZE-LHE,5
PARECER,59
MALTRATOU-A,1
FUGIU,54
ANJO,209
ACHANDO-A,3
FONTE,47
SUR,7
VIESTE,18
VAIS,17
VOU,54
FUGINDO,12
TORNA-TE,3
HUMILHA-TE,2
SOBREMANEIRA,21
NUMEROSA,4
CONCEBESTE,1
TERÁS,55
CHAMARÁS,8
ISMAEL,49
AFLIÇÃO,51
JUMENTO,56
SELVAGEM,12
HABITARÁ,28
FALAVA,73
EL-RÓI,1
OLHADO,3
NESTE,100
VÊ,113
POÇO,50
BEER-LAAI-RÓI,3
BEREDE,2
TIVERA,17
SEIS,139
APARECEU-LHE,8
TODO-PODEROSO,57
ANDA,80
FIRMAREI,3
PROSTROU,11
FALOU-LHE,6
MUITAS,161
CHAMADO,116
ABRAÃO,251
FAR-TE-EI,4
FRUTIFICAR,5
SAIRÃO,25
DAR-TE-EI,10
PEREGRINAÇÕES,8
PERPÉTUA,15
POSSESSÃO,77
GUARDARÁS,21
GUARDAREIS,26
VUGAR,1
CIRCUNCIDAR-VOS-EIS,1
PREPÚCIO,8
OITO,65
CIRCUNCIDADO,12
COMPRADO,10
DINHEIRO,133
ESTRANGEIRO,85
FOR,223
LINHAGEM,27
EFEITO,23
INCIRCUNCISO,12
CIRCUNCIDAR,5
ESSA,102
EXTIRPADA,13
VIOLOU,4
POREM,9
SARA,44
ABENÇOÁ-LA-EI,2
POVOS,253
RIU-SE,2
NASCER,31
OXALÁ,31
VERDADE,449
ISAQUE,134
OUVIDO,116
ABENÇOADO,24
FÁ-LO-EI,3
MULTIPLICÁ-LO-EI,1
GRANDISSIMAMENTE,2
GERARÁ,1
DETERMINADO,39
VINDOURO,13
ACABAR,11
FALAR,169
LOGO,167
COMPRADOS,7
CIRCUNCIDOU,8
CIRCUNCIDADA,2
TREZE,20
CIRCUNCIDADOS,6
SENTADO,49
LEVANTANDO,37
CORREU,28
PROSTROU-SE,16
ACHADO,58
PASSES,6
TRAGA-SE,1
POUCO,142
D&#X27ÁGUA,22
LAVAI,2
PÉS,271
RECOSTAI-VOS,1
TRAREI,57
BOCADO,15
REFAZEI,1
FORÇAS,57
PASSAREIS,5
ADIANTE,132
CHEGASTES,9
ATE,4
RESPONDERAM-LHE,45
APRESSOU-SE,7
AMASSA,1
DEPRESSA,40
MEDIDAS,21
FLOR,80
FARINHA,70
BOLOS,24
SEGUIDA,14
APANHOU,5
BEZERRO,34
TENRO,8
DEU-O,3
CRIADO,15
APRESSOU,11
PREPARÁ-LO,2
QUEIJO,3
FRESCO,3
LEITE,49
MANDARA,9
PREPARAR,11
FICANDO,12
COMIAM,20
PERGUNTARAM-LHE,27
ESCUTANDO,3
ATRÁS,81
VELHOS,31
AVANÇADOS,2
CESSADO,5
INCÔMODO,2
DELEITE,5
ENVELHECIDO,2
SENDO,204
RIU,1
VELHA,13
DIFÍCIL,15
NEGOU,9
RI,3
TEVE,117
RISTE,1
LEVANTARAM-SE,22
AQUELES,202
OLHARAM,13
ENCAMINHAR,2
OCULTAREI,2
FAÇO,61
VIRÁ,108
PODEROSA,18
ESCOLHIDO,22
ORDENE,1
GUARDEM,10
PRATICAREM,3
RETIDÃO,59
FAÇA,106
VIR,136
FALADO,49
CLAMOR,68
MULTIPLICADO,10
AGRAVADO,1
DESCEREI,7
VEREI,18
PRATICADO,9
SABÊ-LO-EI,1
VIRANDO,5
FORAM-SE,17
CHEGANDO-SE,20
DESTRUIRÁS,9
ÍMPIO,130
HOUVER,116
JUSTOS,101
POUPARÁS,2
LONGE,160
FAÇAS,31
TAL,160
MATES,5
FARÁ,261
JUIZ,39
ACHAR,41
POUPAREI,8
TORNOU-LHE,9
ATREVI,2
CINZA,36
