word,count
NASCIDOS,10
DEZOITO,22
PERSEGUIU,18
DÃ,71
DIVIDIU-SE,2
HOBÁ,1
FICA,48
DAMASCO,60
TRAZER,66
SAIU-LHE,9
ENCONTRO,106
SAVÉ,1
MELQUISEDEQUE,11
SALÉM,5
SACERDOTE,506
ALTÍSSIMO,58
ABENÇOOU-O,6
POSSUIDOR,4
ENTREGOU,73
INIMIGOS,267
TUAS,490
DEU-LHE,26
DÍZIMO,6
DÁ-ME,42
PESSOAS,37
TOMA,113
LEVANTEI,36
JURANDO,5
FIO,63
CORREIA,5
SAPATO,7
TOMAREI,28
COISA,342
ALGUMA,342
DIGAS,16
ENRIQUECI,1
SALVO,40
TÃO-SOMENTE,38
JOVENS,58
COMERAM,55
PARTE,361
TOCA,9
COMIGO,254
TOMEM,3
DESTAS,81
COISAS,712
PALAVRA,811
VISÃO,81
TEMAS,67
ESCUDO,49
GRANDÍSSIMO,2
GALARDÃO,37
HÁS,30
ANDO,10
MORDOMO,19
DAMASCENO,1
ELIÉZER,8
TENS,173
NASCIDO,31
HERDEIRO,14
ENTRANHAS,42
SAIR,108
LEVOU,97
CONTA,38
PODES,27
CREU,21
IMPUTOU-LHE,1
JUSTIÇA,380
TIREI,37
DAR-TE,8
HERDÁ-LA,3
SABEREI,3
TOMA-ME,3
BEZERRA,6
CABRA,12
CARNEIRO,93
ROLA,6
POMBINHO,2
TROUXE-LHE,4
PARTIU-OS,4
DELES,734
FRENTE,60
DESCIAM,4
CADÁVERES,33
ENXOTAVA,1
PONDO-SE,10
SOL,178
PROFUNDO,23
CAIU,97
ESPANTO,40
ESCURIDÃO,46
SAIBAS,13
PEREGRINA,13
ALHEIA,6
REDUZIDA,2
ESCRAVIDÃO,3
AFLIGIDA,1
JULGAREI,15
TEM,646
SERVIR,57
SAIRÁ,73
RIQUEZA,19
IRÁS,19
PAIS,553
PAZ,309
VELHICE,20
SEPULTADO,36
QUARTA,34
TORNARÁ,67
CÁ,24
MEDIDA,62
INJUSTIÇA,32
FORNO,23
FUMAÇA,40
TOCHA,5
FOGO,480
AQUELAS,34
METADES,2
«,2
QUENEU,6
QUENEZEU,4
CADMONEU,1
HETEU,24
PERIZEU,5
CANANEU,9
DAVA,28
SERVA,84
EGÍPCIA,4
AGAR,14
IMPEDIDO,5
PORVENTURA,412
TEREI,19
OUVIU,113
DEU-A,4
HABITARA,2
POSSUIU,12
VENDO,242
CONCEBERA,1
SENHORA,11
DESPREZADA,10
AGRAVO,13
PUS,46
REGAÇO,11
MENOSPREZADA,1
JULGUE,15
FAZE-LHE,7
AFLIGIU-A,1
FUGIU,58
ANJO,206
FONTE,55
ÁGUA,313
SUR,7
VENS,13
VAIS,19
