word,count
PLANÍCIE,24
FIXARAM,4
DISSERAM,320
FAZER,419
TIJOLOS,15
QUEIMÁ-LOS,2
"BEM""",13
USAVAM,5
PEDRAS,154
ARGAMASSA,3
CONSTRUIR,52
TORRE,45
ALCANCE,12
FAMOSO,17
SEREMOS,31
ESPALHADOS,24
DESCEU,69
CONSTRUINDO,8
"""ELES",34
FALAM,35
BREVE,31
NADA,456
PODERÁ,235
IMPEDIR,11
PLANEJAM,7
VENHAM,61
DESÇAMOS,1
CONFUNDAMOS,1
ENTENDAM,11
"OUTROS""",8
DISPERSOU,6
DALI,69
PARARAM,16
CONFUNDIU,1
ESPALHOU,18
100,3
35,3
403,2
30,7
34,1
430,1
REÚ,5
209,1
32,6
SERUGUE,6
207,1
NAOR,18
200,14
29,2
119,1
ABRÃO,63
HARÃ,19
LÓ,36
UR,5
CALDEUS,10
NATAL,14
VIVIA,41
CASARAM-SE,5
SARAI,17
MILCA,10
FILHA,221
ISCÁ,1
ESTÉRIL,23
NETO,92
NORA,16
JUNTOS,63
PARTIRAM,102
CHEGAREM,19
ESTABELECERAM-SE,5
205,1
PARENTES,101
CASA,734
VÁ,135
MOSTRAREI,28
ABENÇOAREI,14
TORNAREI,30
BÊNÇÃO,50
ABENÇOAREM,2
AMALDIÇOAREM,3
"ABENÇOADOS""",1
LEVOU,187
SOBRINHO,4
BENS,121
HAVIAM,170
ACUMULADO,2
SERVOS,251
COMPRADOS,11
CHEGARAM,137
ATRAVESSOU,28
CARVALHO,12
MORÉ,3
SIQUÉM,66
NAQUELA,150
HABITAVAM,14
APARECEU,63
"""À",4
DAREI,161
DIREÇÃO,93
BETEL,70
ARMOU,13
ACAMPAMENTO,164
TENDO,155
OESTE,92
AI,103
INVOCOU,6
NEGUEBE,42
FOME,164
EGITO,586
RIGOROSA,5
"""BEM",5
BONITA,14
EGÍPCIOS,96
VIREM,34
DIRÃO,47
‘ESTA,10
DELE’,7
MATARÃO,15
DEIXARÃO,18
DIGA,107
TRATEM,10
AMOR,380
POUPADA,4
"CAUSA""",7
CHEGOU,239
VENDO-A,1
CORTE,16
FARAÓ,262
ELOGIARAM,1
LEVADA,23
PALÁCIO,193
TRATOU,16
RECEBEU,78
BOIS,115
JUMENTOS,59
JUMENTAS,10
SERVAS,39
CAMELOS,45
PUNIU,2
GRAVES,7
DOENÇAS,29
CHAMAR,59
COMIGO,197
FALOU,132
TOMEI,10
AÍ,38
TOME-A,1
SEGUIR,80
ORDENS,73
PROVIDENCIASSEM,1
NECESSÁRIO,57
PARTISSE,1
POSSUÍA,35
ENRIQUECIDO,1
GADO,41
PRATA,385
INDO,65
ARMADO,11
ANTERIORMENTE,27
PRIMEIRA,65
CONSTRUÍDO,34
ACOMPANHAVA,4
PODIAM,43
MORAR,40
MESMA,184
POSSUÍAM,11
TANTOS,22
PODIA,40
SUSTENTÁ-LOS,3
SURGIU,20
DESAVENÇA,3
PASTORES,50
FEREZEUS,23
AQUELA,92
HAJA,39
OU,1000
AFINAL,13
SOMOS,109
INTEIRA,15
VAMOS,95
FOR,245
ESQUERDA,56
IREI,37
DIREITA,178
"ESQUERDA""",4
OLHOU,47
VALE,173
JORDÃO,185
IRRIGADO,1
ZOAR,16
ANTES,307
ESCOLHEU,69
MUDOU,12
CIDADES,464
EXTREMAMENTE,6
PERVERSOS,30
PECADORES,30
CONTRA,1379
SEPAROU-SE,2
"""DE",52
OLHE,16
NORTE,163
SUL,142
VENDO,81
TÃO,217
NUMEROSA,5
POSSÍVEL,31
PERCORRA,2
ALTO,156
BAIXO,33
"VOCÊ""",48
PASSOU,86
CARVALHOS,11
MANRE,10
HEBROM,75
ANRAFEL,2
REI,2317
ARIOQUE,6
ELASAR,2
QUEDORLAOMER,5
TIDAL,2
GOIM,3
GUERRA,254
BERA,1
BIRSA,1
SINABE,1
SEMEBER,1
BELÁ,14
ÚLTIMOS,28
TROPAS,51
SIDIM,3
SALGADO,11
DOZE,181
ESTIVERAM,11
SUJEITOS,13
REBELARAM,22
REIS,308
ALIARAM,1
DERROTARAM,16
REFAINS,9
ASTEROTE-CARNAIM,1
ZUZINS,1
HÃ,1
EMINS,3
SAVÉ-QUIRIATAIM,1
HOREUS,6
MONTES,214
SEIR,38
EL-PARÃ,1
DESERTO,327
VOLTARAM,111
EN-MISPATE,1
CADES,17
CONQUISTARAM,12
AMALEQUITAS,37
HAZAZOM-TAMAR,2
MARCHARAM,12
TOMARAM,39
POSIÇÃO,51
COMBATE,88
CHEIO,81
POÇOS,11
BETUME,3
FUGIRAM,58
CAÍRAM,46
RESTANTE,80
ESCAPOU,17
VENCEDORES,3
SAQUEARAM,9
MANTIMENTO,5
LEVARAM,129
MORAVA,17
ESCAPADO,6
VEIO,326
RELATOU,9
HEBREU,9
AMORREU,5
ESCOL,6
ANER,3
ALIADOS,20
OUVIU,151
PARENTE,30
LEVADO,72
